word,count,portion
looking,60,0.0009696499563657519
bottle,60,0.0009696499563657519
bed,60,0.0009696499563657519
people,59,0.0009534891237596561
somethin,59,0.0009534891237596561
change,59,0.0009534891237596561
remember,59,0.0009534891237596561
sure,59,0.0009534891237596561
songs,59,0.0009534891237596561
run,59,0.0009534891237596561
livin,58,0.0009373282911535602
happy,58,0.0009373282911535602
help,57,0.0009211674585474644
nights,57,0.0009211674585474644
hair,57,0.0009211674585474644
getting,57,0.0009211674585474644
real,57,0.0009211674585474644
saw,56,0.0009050066259413685
boys,55,0.0008888457933352727
broken,55,0.0008888457933352727
roll,55,0.0008888457933352727
memory,54,0.0008726849607291768
open,53,0.0008565241281230809
thank,53,0.0008565241281230809
feels,53,0.0008565241281230809
easy,52,0.000840363295516985
summer,52,0.000840363295516985
middle,52,0.000840363295516985
